item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
27 MONITOR - SE2722H - 68.5CM (27)		0809BAS8Z8A	-Dell-SE2722H-EAN	159.99	3	2024-08-09 11:38:19 PDT		y	1			11				B095745ZC8						B095745ZC8			0	DEFAULT	Special - low price but higher shipping	Active
Corsair RMx Series, RM1000x, 1000 Watt (1000W), Fully Modular Power Supply, 80+ Gold Certified, 10 Yr Warranty - CP-9020094-NA		0603B8I5NSN	0607-PN-CP-9020094-NA/RF	179.99	3	2024-06-03 07:51:47 PDT		y	1		Factory recertified with1 year warranty	5				B015YEI7LK						B015YEI7LK			0	DEFAULT	Domestic Standard	Active
CORSAIR RM Series (2021), RM850, 850 Watt, 80 Plus Gold Certified, Fully Modular Power Supply		0603B8A65DO	0607-PN-CP-9020235-NA/RF	114.99	3	2024-06-03 07:55:09 PDT		y	1		Factory recertified with 1 year warranty	5				B093NQKFGC						B093NQKFGC			0	DEFAULT	Domestic Standard	Active
ASUS TUF Gaming VG27VH1B 27? Curved Monitor, 1080P Full HD, 165Hz (Supports 144Hz), Extreme Low Motion Blur, Adaptive-sync, FreeSync Premium, 1ms, Eye Care, HDMI D-Sub, BLACK		0712BAOJJET	0718-C-VG27VH1B	220	2	2024-07-12 11:19:45 PDT		y	1			11				B088MKB54B						B088MKB54B			0	DEFAULT	Domestic Standard	Active
Western Digital 22TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 512 MB Cache, 3.5" - WD221PURP		0731BN26PUY	0731-A-267032	695	10	2024-07-31 08:07:39 PDT		y	1			11				B0B5VYRJ6Q						B0B5VYRJ6Q			0	DEFAULT	Cheaper Domestic Standard	Active
HP Series 5 27 inch FHD Monitor with Speakers - 527sa		0820B3H9SK8	0823-H-Series 5 527sa	230		2024-08-20 11:05:18 PDT		y	3			11				B0CV75WYTB						197498944197				AMAZON_NA	Migrated Template	Active
HP Series 5 27 inch FHD White Monitor - 527sw (94F46AA)		0820B3HPE35	0823-H-Series 5 527sw	225		2024-08-20 11:05:18 PDT		y	3			11				B0CV7JTKMK						197498944166				AMAZON_NA	Domestic Standard	Active
ASUS TUF Gaming 27” 1440P Monitor (VG27AQA1A) - QHD (2560 x 1440), 170Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Freesync Premium, Eye Care, HDMI, DisplayPort, Shadow Boost, Speakers, HDR		0729BHR3SWZ	0831-A-272563	437.25	17	2024-07-29 13:54:52 PDT		y	1			11				B0BHKCQBMN						B0BHKCQBMN			0	DEFAULT	Domestic Standard	Active
MSI Optix G27C4 E2/E3 FHD 1500R Curvature 16:9 Aspect Ratio Non-Glare Super Narrow Bezel 1ms 1920 x 1080 170Hz Refresh Rate Tilt Adjustment AMD FreeSync 27" Curved Gaming Monitor		0808B8HSKF3	0905-CC-G27C4 E3	215.99	14	2024-08-08 13:59:02 PDT		y	1			11				B0B5HXFLV9						B0B5HXFLV9			0	DEFAULT	Domestic Standard	Active
Texas Instruments TI-84 Plus CE Color Graphing Calculator, Teal (Metallic)		0801BQ6WVF1	0905-ST-2977644	207.89	8	2024-08-01 11:45:58 PDT		y	3			11				B086MNJ7JP						033317209118			0	DEFAULT	Domestic Standard	Active
Texas Instruments ti-84 Plus Ce Color Graphing Calculator, Black		0814BNPO1HM	0905-ST-84PLCETBL2L1CA	207.89	12	2024-08-14 13:59:20 PDT		y	1			11				B07JCGP68S						B07JCGP68S			0	DEFAULT	Domestic Standard	Active
Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black 7.5 Inch		0801BQ6Z60J	0905-ST-84PLCETBL2L1CA EAN	207.89	12	2024-08-01 11:44:16 PDT		y	4			11				B00TFYYWQA						7426100640657			0	DEFAULT	Domestic Standard	Active
TI-84 Plus CE Color Graphing Calculator, White		0801BQITM6T	0905-ST-84PLUSCEWHITECA	209.99	2	2024-08-01 11:46:55 PDT		y	3			11				B07R6NVTKS						033317208715			0	DEFAULT	Domestic Standard	Active
Samsung Galaxy Book3 360 13.3" FHD Touch AMOLED |i7RPL (13th Gen)|16G DDR5|512GB SSD		0821B6WIMF6	0905-ST-NP730QFG-KA1CA	1399.99	6	2024-08-21 10:49:36 PDT		y	1			11				B0BSGLD42F						B0BSGLD42F			0	DEFAULT	Special - low price but higher shipping	Active
WD_BLACK 2TB D30 Game Drive SSD for Xbox - Portable External Solid State Drive, Compatible with Xbox and PC, Up to 900MB/s - WDBAMF0020BBW-WESN		0906BDFHBA5	0907-ST-WDBAMF0020BBW	274.99	2	2024-09-06 09:56:09 PDT		y	3			11				B093HHKB72						619659186111			0	DEFAULT	Migrated Template	Active
HP 15.6" FHD Touchscreen Laptop, Intel i7-1255U, 16GB DDR4 RAM, 512GB PCIe SSD, Intel Iris Xe Graphics, HD Camera, HP Fast Charge, Win 11 Pro, Silver, 32GB Hotface USB Card		0906BDD0UE0	0910-ST-15-DY5027CA	999.99	2	2024-09-06 09:56:09 PDT		y	3			11				B0CYZP2H2F						196188311646			0	DEFAULT	Migrated Template	Active
Texas Instruments TI-84 Plus CE Color Graphing Calculator, Teal (Metallic)		0906BDE81RC	0910-ST-2977644	207.89	2	2024-09-06 09:56:09 PDT		y	3			11				B086MNJ7JP						033317209118			0	DEFAULT	Migrated Template	Active
Canon Pixma TR7620a Home Office Printer		0821B6VKZ8K	0910-ST-4452C023	143.11	2	2024-08-21 11:31:17 PDT		y	3			11				B0BBZ121FZ						013803348354			0	DEFAULT	Domestic Standard	Active
Canon PIXMA TR4720 - All-in-One Wireless Printer for Home Use, Print, Copy, Scan, and Built-in Fax, with Auto Document Feeder, Mobile Printing, White		0821B735OIF	0910-ST-5074C003	84.99	2	2024-08-21 12:58:47 PDT		y	3			11				B09NF4NLDW						013803344509			0	DEFAULT	Migrated Template	Active
Canon Color imageCLASS LBP633Cdw Wireless Laser Printer, 22ppm, PCL, PS		0821B73G5KT	0910-ST-5159C002	449.18	2	2024-08-21 12:58:47 PDT		y	3			11				B0BSMYRQMS						013803342062			0	DEFAULT	Migrated Template	Active
